scenario,rank_by_mae_degrade,model,mae_degrade_pct,rmse_degrade_pct,p90_degrade_pct
ideal_empty,1,LightGBM,2.547554083395604,1.1642268025137839,0.6037182360120779
ideal_empty,2,CNN,3.1436387627855567,1.5049173649983285,-0.6582445188561137
ideal_empty,3,RandomForest,3.197958148479949,1.8091306502969673,0.40829371597496633
ideal_empty,4,KNN,3.565550386334766,2.145371164935051,0.10471484362409972
ideal_empty,5,WKNN,3.762960093517184,2.291539574904951,1.3106619180589625
complex_dynamic,1,CNN,1.7360651296342704,0.6418877829159484,-1.1260035180977013
complex_dynamic,2,LightGBM,2.336702828027147,1.223574140117024,-1.4679798929011736
complex_dynamic,3,RandomForest,2.9464506966799955,1.8793459494178177,-0.5350795146081935
complex_dynamic,4,WKNN,3.58675685146475,2.37513138109494,3.060112719987867
complex_dynamic,5,KNN,3.615404141066472,2.462617003596338,2.094685504098992
