scenario,model,noise_ratio,mae_m,rmse_m,p90_m,mae_degrade_pct,rmse_degrade_pct,p90_degrade_pct
complex_dynamic,CNN,0.0,2.262476113039221,2.613761413548812,4.074005758185756,0.0,0.0,0.0
complex_dynamic,CNN,0.02,2.2695566628382187,2.6142644365315184,4.042014328486352,0.3129557814197746,0.019245175940659855,-0.7852573510757679
complex_dynamic,CNN,0.05,2.2840993847548035,2.6238903718786233,4.110835196619682,0.9557348071416999,0.3875242123212354,0.9040104658646201
complex_dynamic,CNN,0.1,2.280900075132096,2.6211910185104665,4.019146802996843,0.8143273640191406,0.28424954638714317,-1.3465605707278667
complex_dynamic,CNN,0.2,2.301754171904,2.630538828736953,4.028132310021081,1.7360651296342704,0.6418877829159484,-1.1260035180977013
complex_dynamic,KNN,0.0,2.4422933435170253,2.8492366842860606,4.459820624195552,0.0,0.0,0.0
complex_dynamic,KNN,0.02,2.446163015419237,2.850006537947788,4.455333881989094,0.15844418986291894,0.027019645857200965,-0.10060364719864412
complex_dynamic,KNN,0.05,2.472498386149878,2.8755831339277873,4.500999876573684,1.2367491690967827,0.9246844878500646,0.9233387583959171
complex_dynamic,KNN,0.1,2.4853881915867073,2.8843794278083936,4.500999876573684,1.7645238310162714,1.2334090641240931,0.9233387583959171
complex_dynamic,KNN,0.2,2.5305921181955306,2.9194024713459936,4.553239840319393,3.615404141066472,2.462617003596338,2.094685504098992
complex_dynamic,LightGBM,0.0,2.3226430950901342,2.6890131089808396,4.246814337172396,0.0,0.0,0.0
complex_dynamic,LightGBM,0.02,2.332340567559705,2.6932101488742686,4.173705209128091,0.4175188383471511,0.15608104993655933,-1.7215051622196136
complex_dynamic,LightGBM,0.05,2.338980752919166,2.6932326045361443,4.180703651793695,0.703408020955442,0.15691613927847273,-1.5567123996929688
complex_dynamic,LightGBM,0.1,2.3519760417374402,2.695378119119074,4.170339775983859,1.2629123565869123,0.23670431791412222,-1.8007512247275608
complex_dynamic,LightGBM,0.2,2.3769163619780826,2.721915178006686,4.184471956613861,2.336702828027147,1.223574140117024,-1.4679798929011736
complex_dynamic,RandomForest,0.0,2.373834877528422,2.755001890931617,4.3220307379590155,0.0,0.0,0.0
complex_dynamic,RandomForest,0.02,2.3729013767658125,2.7502196111983648,4.3292694594716865,-0.03932458704041746,-0.1735853521187614,0.16748426727037458
complex_dynamic,RandomForest,0.05,2.3912082527466514,2.7640792364547098,4.316015044784044,0.7318695745307351,0.3294859997364016,-0.139186728177044
complex_dynamic,RandomForest,0.1,2.397402890190014,2.7625229343985613,4.279877766791544,0.9928244329332073,0.27299594572695923,-0.9753047519365247
complex_dynamic,RandomForest,0.2,2.443778751815391,2.8067779073752246,4.2989044368651275,2.9464506966799955,1.8793459494178177,-0.5350795146081935
complex_dynamic,WKNN,0.0,2.472188144915807,2.89114312818409,4.5079458235002035,0.0,0.0,0.0
complex_dynamic,WKNN,0.02,2.476777607475408,2.8931593628254966,4.498670901408726,0.18564374111410198,0.06973831982759462,-0.20574608601387023
complex_dynamic,WKNN,0.05,2.4988059338464224,2.9140859001102077,4.529003155490393,1.0766894496018178,0.793553653655602,0.467115906327372
