scenario,model,mae_m,rmse_m,median_m,p90_m,r2_x,r2_y,train_time_s,infer_ms_per_sample,n_train,n_test
ideal_empty,KNN,2.5393756538275993,3.0003542777972805,2.2022715545545237,4.859114350305629,0.4295751752906758,0.5892253435684356,0.003436208004131913,0.0013326326179554707,9569,4102
ideal_empty,WKNN,2.5703150289055405,3.0352291192992644,2.233974893148643,4.824748662399259,0.413951201147035,0.5818866867526107,0.0017138340044766665,0.0013440902007329138,9569,4102
ideal_empty,RandomForest,2.4505395916441595,2.871934156158101,2.151922127910778,4.558796014595305,0.4649500595760242,0.6359384155551588,0.7917092499992577,0.00976655680404364,9569,4102
ideal_empty,LightGBM,2.4030645434255202,2.808044595372783,2.123040093360603,4.420932050603682,0.49636992787057255,0.6441460104461831,3.666062125004828,0.006923512919917875,9569,4102
ideal_empty,CNN,2.3636575213155857,2.740230796147247,2.0902146465001676,4.350731145516136,0.5252800633646655,0.6562900220874339,0.6294160000106785,0.0002360129190542109,9569,4102
complex_dynamic,KNN,2.4422933435170253,2.8492366842860606,2.147091055358389,4.459820624195552,0.5524640329083024,0.563270972853172,0.001920209004310891,0.0013990938577036769,9569,4102
complex_dynamic,WKNN,2.4721881449158074,2.89114312818409,2.1914356262265304,4.507945823500203,0.5370301434537285,0.5524831366004423,0.0017361249920213595,0.0013384934177775225,9569,4102
complex_dynamic,RandomForest,2.373834877528422,2.755001890931617,2.118136928620259,4.3220307379590155,0.5857457680703755,0.5875502070316873,0.6679304169956595,0.008424691368365067,9569,4102
complex_dynamic,LightGBM,2.3226430950901342,2.6890131089808396,2.064419296181639,4.246814337172396,0.6029498842416119,0.6094538204922839,3.2743795410060557,0.007008552655821956,9569,4102
complex_dynamic,CNN,2.262476113039221,2.613761413548812,2.011750659370265,4.0740057581857485,0.6258446014012153,0.6300324492052347,0.6342987500102026,0.00023293515350824011,9569,4102
